canonicalName,slug,aliases,alternateSpellings,members,formerMembers,associatedActs,sideProjects,collaborators,producers,songwriters,genres,keywords,musicBrainzId,appleArtistId,appleIdentityConfidence,ambiguityClass,identityEvidence,articleCount,lastIdentityUpdatedAt,lastAppleCatalogueUpdatedAt,reviewedArticleIds,concertReviewArchiveArticleIds
3OH!3,3oh-3,,,,,,,,,,,,,,,distinctive,,1,,,,8049342004393252062
400 Unit,400-unit,,,,,,,,,,,,,,,distinctive,,2,,,,
49 Winchester,49-winchester,,,,,,,,,,,,,,,distinctive,,1,,,,6365286052928995948
69 Eyes,69-eyes,,,,,,,,,,,,,,,distinctive,,2,,,,6394739955945457237
A-Ha,a-ha,,,,,,,,,,,,,,,distinctive,,2,,,,8051018447501217665
A Perfect Circle,a-perfect-circle,,,,,,,,,,,,,,,distinctive,,1,,,,504008094814492626
A Place To Bury Strangers,a-place-to-bury-strangers,,,,,,,,,,,,,,,distinctive,,2,,,,7900475818871454508
Abbath,abbath,,,,,,,,,,,,,,,distinctive,,3,,,,6288040060233094991 | 2892515347434524677
Abel Selaocoe,abel-selaocoe,,,,,,,,,,,,,,,distinctive,,1,,,,
Absu,absu,,,,,,,,,,,,,,,distinctive,,3,,,,6377247503591080765
AC/DC,ac-dc,,,,,,,,,,,,,,,distinctive,,5,,,,1342756235464456825 | 5856958886926760162
Accept,accept,,,,,,,,,,,,,,,distinctive,,1,,,,1697396270389337919
Ace Frehley,ace-frehley,,,,,,,,,,,,,,,distinctive,,3,,,,7180087792671001497
Acid Bath,acid-bath,,,,,,,,,,,,,,,distinctive,,1,,,,7350401896256087661
Adam Bomb,adam-bomb,,,,,,,,,,,,,,,distinctive,,1,,,,6924307365258521008
Afghan Whigs,afghan-whigs,,,,,,,,,,,,,,,distinctive,,1,,,,
Afterdrive,afterdrive,,,,,,,,,,,,,,,distinctive,,1,,,,7136066562633639877
Agnostic Front,agnostic-front,,,,,,,,,,,,,,,distinctive,,4,,,,9223116376581303395 | 6311401349434781429
Ags Connolly,ags-connolly,,,,,,,,,,,,,,,distinctive,,1,,,,4829557397817616787
Alain Johannes,alain-johannes,,,,,,,,,,,,,,,distinctive,,2,,,,7950534504082306041
Alain Souchon,alain-souchon,,,,,,,,,,,,,,,distinctive,,1,,,,107331801455873729
Alberta Cross,alberta-cross,,,,,,,,,,,,,,,distinctive,,1,,,,1251387722955394760
Alice Cooper,alice-cooper,,,,,,,,,,,,,,,distinctive,,15,,,,8058070843325432654 | 4421320008573648684 | 6840481356925569921 | 7549708975977909650 | 3267356194098094593 | 956968394353413210 | 341873997760119461
Alicia Witt,alicia-witt,,,,,,,,,,,,,,,distinctive,,1,,,,7419637610516942612
Alien Weaponry,alien-weaponry,,,,,,,,,,,,,,,distinctive,,1,,,,9036691935387243159
Ally Venable,ally-venable,,,,,,,,,,,,,,,distinctive,,3,,,,638494415631104075
Alt-J,alt-j,,,,,,,,,,,,,,,distinctive,,1,,,,2648051882616256282
Alter Bridge,alter-bridge,,,,,,,,,,,,,,,distinctive,,2,,,,9117204615076826719
Altons,altons,,,,,,,,,,,,,,,distinctive,,1,,,,
Ambré,ambre,,,,,,,,,,,,,,,distinctive,,1,,,,2397921433111949345
Ambrose Akinmusire,ambrose-akinmusire,,,,,,,,,,,,,,,distinctive,,1,,,,7229429368237563010
Amy MacDonald,amy-macdonald,,,,,,,,,,,,,,,distinctive,,1,,,,2719861753096998824
Ancient,ancient,,,,,,,,,,,,,,,distinctive,,2,,,,1076562955191747802
...And You Will Know Us By The Trail Of Dead,and-you-will-know-us-by-the-trail-of-dead,,,,,,,,,,,,,,,distinctive,,2,,,,
Andy Bell,andy-bell,,,,,,,,,,,,,,,distinctive,,1,,,,
Andy Cairns,andy-cairns,,,,,,,,,,,,,,,distinctive,,1,,,,
Andy Fairweather-Low and the Low Riders,andy-fairweather-low-and-the-low-riders,,,,,,,,,,,,,,,distinctive,,1,,,,
Ange,ange,,,,,,,,,,,,,,,distinctive,,1,,,,8280766367239870439
Angelmaker,angelmaker,,,,,,,,,,,,,,,distinctive,,1,,,,7869594705740165930
Anneke van Giersbergen,anneke-van-giersbergen,,,,,,,,,,,,,,,distinctive,,2,,,,5029540645157597784
Answer,answer,,,,,,,,,,,,,,,distinctive,,1,,,,7809556906697230119
Anthrax,anthrax,,,,,,,,,,,,,,,distinctive,,3,,,,102355838428625003 | 8514374804181020959
Arch Enemy,arch-enemy,,,,,,,,,,,,,,,distinctive,,3,,,,6170815793231485177
Ariel Pink,ariel-pink,,,,,,,,,,,,,,,distinctive,,1,,,,8092554799868897068
Asgeir,asgeir,,,,,,,,,,,,,,,distinctive,,1,,,,7792660971598158514
Ash,ash,,,,,,,,,,,,,,,distinctive,,3,,,,6173788947905613410
Attic,attic,,,,,,,,,,,,,,,distinctive,,1,,,,79240955651498036
Attila Csihar,attila-csihar,,,,,,,,,,,,,,,distinctive,,2,,,,
Audrey Hobert,audrey-hobert,,,,,,,,,,,,,,,distinctive,,2,,,,6448647177496316400
Audrey McGraw,audrey-mcgraw,,,,,,,,,,,,,,,distinctive,,1,,,,6717717722773281013
Aura Noir,aura-noir,,,,,,,,,,,,,,,distinctive,,1,,,,2963101639779599105
Autry Fulbright,autry-fulbright,,,,,,,,,,,,,,,distinctive,,1,,,,
Avantasia,avantasia,,,,,,,,,,,,,,,distinctive,,2,,,,
Avatar,avatar,,,,,,,,,,,,,,,distinctive,,2,,,,3393132238230191595 | 2904953285468478888
Axl Rose,axl-rose,,,,,,,,,,,,,,,distinctive,,1,,,,
Ayron Jones,ayron-jones,,,,,,,,,,,,,,,distinctive,,2,,,,4460939711604008958 | 4458741023074812467
Backyard Babies,backyard-babies,,,,,,,,,,,,,,,distinctive,,1,,,,
Bad Religion,bad-religion,,,,,,,,,,,,,,,distinctive,,2,,,,7747051418479519171
Barry Mills,barry-mills,,,,,,,,,,,,,,,distinctive,,1,,,,
Bea and her Business,bea-and-her-business,,,,,,,,,,,,,,,distinctive,,1,,,,
Beach Fossils,beach-fossils,,,,,,,,,,,,,,,distinctive,,1,,,,3969807063408222296
Beastö Blancö,beasto-blanco,,,,,,,,,,,,,,,distinctive,,5,,,,3876785624305905789 | 829732783252837103
Beat,beat,,,,,,,,,,,,,,,distinctive,,3,,,,2999330462767137869
Beck,beck,,,,,,,,,,,,,,,distinctive,,1,,,,2302323202018545515
Begonia,begonia,,,,,,,,,,,,,,,distinctive,,1,,,,8559496570432014778
Behemoth,behemoth,,,,,,,,,,,,,,,distinctive,,2,,,,2904341958591884463
